date,Download Speed, Upload Speed
2016-08-18T00:30:18,90.6149423689,43.1516040069
2016-08-18T00:35:22,92.5547966282,41.4576984855
2016-08-18T00:40:22,93.2943332197,41.2916363348
2016-08-18T00:45:23,92.196272916,43.5907629706
2016-08-18T00:50:25,93.0428062433,44.9390655875
2016-08-18T00:55:40,93.5737705807,42.4822065405
2016-08-18T01:00:23,92.8998543004,43.0749128183
2016-08-18T01:05:23,93.2316401194,50.53188685
2016-08-18T01:10:26,93.5199185019,45.2693806318
2016-08-18T01:15:21,87.6438514923,36.8216526426
2016-08-18T01:20:20,91.929443415,51.0854570548
2016-08-18T01:25:17,92.3133211252,39.3619726401
2016-08-18T01:30:22,92.2265895325,35.604315981
2016-08-18T01:35:24,93.3683791659,40.9263064643
2016-08-18T01:40:19,91.2585766516,39.0600288207
2016-08-18T01:45:30,93.1977426717,35.2806820195
2016-08-18T01:50:17,92.5684982933,46.8355140987
2016-08-18T01:55:21,92.1690025941,49.3089755615
2016-08-18T02:00:26,91.5287478371,53.7663122275
2016-08-18T02:05:26,91.0273416139,58.1307696158
2016-08-18T02:10:23,93.019514551,41.8080628031
2016-08-18T02:15:21,89.6450571247,51.4907752113
2016-08-18T02:20:22,93.3325103881,43.7310107227
2016-08-18T02:25:21,93.4294494902,43.3118755146
2016-08-18T02:30:21,90.7156142534,46.7219557473
2016-08-18T02:35:20,91.5247074503,49.174049901
2016-08-18T02:40:24,93.2339654783,47.171209128
2016-08-18T02:45:22,93.3174595081,48.1352408488
2016-08-18T02:50:24,93.4352973755,47.5353037824
2016-08-18T02:55:22,92.7161778886,46.1995013893
2016-08-18T03:00:22,91.1565071112,45.0452223021
2016-08-18T03:05:24,93.1305152897,37.5827534773
2016-08-18T03:10:27,93.3315046355,37.6545620654
2016-08-18T03:15:23,93.2842281766,50.3880239911
2016-08-18T03:20:22,93.3016587094,33.4026702278
2016-08-18T03:25:26,90.936522944,19.9969660938
2016-08-18T03:30:23,92.2696690469,46.8564640502
2016-08-18T03:35:22,91.017803358,25.006230414
2016-08-18T03:40:22,92.8236841194,43.9189025236
2016-08-18T03:45:25,92.0606598415,40.8604513067
2016-08-18T03:50:21,92.5665785031,45.0141951378
2016-08-18T03:55:28,93.4242327952,45.0747550294
2016-08-18T04:00:22,92.136429908,47.5337235402
2016-08-18T04:05:21,87.1473835928,26.5017434179
2016-08-18T04:10:19,92.2679150489,44.1128631798
2016-08-18T04:15:26,90.1818596735,19.617812272
2016-08-18T04:20:22,92.5240815264,48.8240425395
2016-08-18T04:25:25,90.3474621276,24.5297801608
2016-08-18T04:30:24,93.3359551333,48.4285409662
2016-08-18T04:35:21,91.9806593502,34.4778399183
2016-08-18T04:40:18,93.0962523432,41.517081836
2016-08-18T04:45:28,92.5274665985,18.4965037752
2016-08-18T04:50:19,92.1099329014,39.5293649874
2016-08-18T04:55:26,92.6653572378,43.0848597594
2016-08-18T05:00:17,91.7349228854,48.5552111806
2016-08-18T05:05:22,92.9465064967,53.9493820201
2016-08-18T05:10:26,92.8645584011,48.6115429612
2016-08-18T05:15:24,90.2038534136,26.2678007483
2016-08-18T05:20:30,92.4792952475,14.545252205
2016-08-18T05:25:30,89.9810395435,19.7843092371
2016-08-18T05:30:19,93.0763346695,47.2574976616
2016-08-18T05:35:24,90.1534277291,13.0520062416
