date,size,time,hash
"2016-08-03T07:02:12.834833","0 MiB","132.29","6cb06015ee8dae545f64d6dbec5cfd37402b1eb7"
"2016-08-03T08:03:13.697029","0 MiB","193.39","6fbeff3b77716816e8bb4e0be08cf8f2520a60bb"
"2016-08-03T09:01:33.564079","0 MiB","92.81","6fbeff3b77716816e8bb4e0be08cf8f2520a60bb"
"2016-08-03T10:03:39.510360","0 MiB","219.24","b2309889ec3785a1f3496fef32e96aff5e483b44"
"2016-08-03T11:02:00.167566","0 MiB","119.18","b2309889ec3785a1f3496fef32e96aff5e483b44"
"2016-08-03T12:03:45.217716","0 MiB","224.71","ef8822a94d9b9550e046f756823614b2975d27aa"
"2016-08-03T13:01:53.452629","0 MiB","112.30","ef8822a94d9b9550e046f756823614b2975d27aa"
"2016-08-03T23:04:12.568265"," 549.19 KiB ","251.80","3ef167afeb7739e9ef4df261d8a190fd350d52dc"
"2016-08-04T00:02:08.388829"," 301.71 KiB ","127.84","05bdf0d07e821c749ac203341009d9b36ae1f043"
"2016-08-04T01:02:36.749143"," 344.42 KiB ","156.41","89879ba311c2930f7c987b0f53ed6c29282547cb"
"2016-08-04T02:03:51.453960"," 275.43 KiB ","231.26","254ebb1fb1a31d4bbebec5ce95ec361ff1d814b4"
"2016-08-04T03:02:04.850364"," 285.68 KiB ","123.84","56316c494366c5ae6f76e66fd44d2819e9bb3dd5"
"2016-08-04T04:01:57.322449","0 MiB","116.33","4f8f54861d3f330f1cca3a3b8238751b544a7e47"
"2016-08-04T05:02:27.205724"," 189.67 KiB ","146.40","790942a82f8b2e307896e95e5eb85b971da3218a"
"2016-08-04T06:03:10.824723","0 MiB","190.15","42b905f51597a90fefd7d95d9f4cb5a5ed589ea4"
"2016-08-04T07:01:56.598104"," 331.08 KiB ","116.23","45b9009d58ab636b31963fe93dedfb5172484990"
"2016-08-04T08:02:03.650034","0 MiB","123.22","566807ada62a4b7fdc30974710fc8e0b015ab33d"
"2016-08-04T09:03:04.049868","0 MiB","183.86","6566a15ca4881dd426c5ce631e567bf50cffeb4d"
"2016-08-04T10:02:24.970063","0 MiB","144.47","6566a15ca4881dd426c5ce631e567bf50cffeb4d"
"2016-08-04T11:01:37.286487","0 MiB","96.45","6566a15ca4881dd426c5ce631e567bf50cffeb4d"
"2016-08-04T12:03:52.650633","0 MiB","231.78","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T13:01:46.819443","0 MiB","106.52","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T14:01:49.338647","0 MiB","108.95","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T15:01:43.116557","0 MiB","102.02","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T16:01:46.448030","0 MiB","105.81","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T17:01:58.904006","0 MiB","118.69","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T18:01:31.695385","0 MiB","90.92","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T19:01:30.786905","0 MiB","90.32","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T20:01:34.085751","0 MiB","93.88","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T21:01:33.699644","0 MiB","92.75","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T22:03:28.688249","0 MiB","208.09","6ab4b08174ce5ac4f2a7b987efc9818ff35059cd"
"2016-08-04T23:02:18.398662"," 109.79 KiB ","138.24","03363a912099c0e3acd51a97638be5721e04f853"
"2016-08-05T00:01:53.642937"," 498.36 KiB ","112.78","ea89e05db4cab3a1cea8526a89453e07fdc14d7b"
"2016-08-05T01:04:00.891476"," 174.99 KiB ","240.29","10830aed1e15aaa2c18f44a170c5a103a9ba7465"
"2016-08-05T02:03:07.774373"," 644.17 KiB ","187.59","c117447bd262b950f86ac375be2c176535f42e8b"
"2016-08-05T03:02:35.647016"," 411.64 KiB ","154.78","48b44ed8f59d15923b814d77cd8d7ccbf3550a29"
"2016-08-05T04:02:35.703541"," 192.63 KiB ","155.20","eafaaa455e902f8db69a2004861d05a75fe614e5"
"2016-08-05T05:02:42.605757"," 202.71 KiB ","162.41","bd14ac8e0b82a2308d5d1fd445f41041c28de3a4"
"2016-08-05T06:02:52.188127"," 328.90 KiB ","171.35","ca99d6512c18c2f99e9a5f519a66b8f8c7c75b56"
"2016-08-05T07:03:22.509854","0 MiB","202.04","47bdd08ceb18f452c0a029431c591ce9021756e0"
"2016-08-05T08:01:24.271011","0 MiB","83.15","47bdd08ceb18f452c0a029431c591ce9021756e0"
"2016-08-05T09:02:27.318528","0 MiB","146.49","47bdd08ceb18f452c0a029431c591ce9021756e0"
"2016-08-05T10:01:52.600233","0 MiB","112.07","47bdd08ceb18f452c0a029431c591ce9021756e0"
"2016-08-05T11:04:03.026275","0 MiB","242.64","fefb24cbce17ac1a73ab39a8bb6dcdb8759230c9"
"2016-08-05T12:01:29.487036","0 MiB","88.49","fefb24cbce17ac1a73ab39a8bb6dcdb8759230c9"
"2016-08-05T13:01:42.347260","0 MiB","101.88","fefb24cbce17ac1a73ab39a8bb6dcdb8759230c9"
"2016-08-05T14:04:12.797281","0 MiB","251.77","56eb2042504df0fb98edee7cfd721afcb5a4836e"
"2016-08-05T15:01:44.736205","0 MiB","104.28","56eb2042504df0fb98edee7cfd721afcb5a4836e"
"2016-08-05T16:01:49.244727","0 MiB","108.35","56eb2042504df0fb98edee7cfd721afcb5a4836e"
"2016-08-05T17:03:42.361632","0 MiB","221.99","0107e4099b2e13955dc7649bcb9df2dce4c61897"
